,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Regent Park,43.6542599,-79.3606359,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
1,Regent Park,43.6542599,-79.3606359,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
2,Regent Park,43.6542599,-79.3606359,Cooper Koo Family YMCA,43.65324910177244,-79.35800826343677,Distribution Center
3,Regent Park,43.6542599,-79.3606359,Body Blitz Spa East,43.65473505045365,-79.35987433132891,Spa
4,Regent Park,43.6542599,-79.3606359,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
5,Regent Park,43.6542599,-79.3606359,Corktown Common,43.655617799749734,-79.3562113397429,Park
6,Regent Park,43.6542599,-79.3606359,Figs Breakfast & Lunch,43.65567455427388,-79.3645032892494,Breakfast Spot
7,Regent Park,43.6542599,-79.3606359,The Distillery Historic District,43.65024435658077,-79.35932278633118,Historic Site
8,Regent Park,43.6542599,-79.3606359,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
9,Regent Park,43.6542599,-79.3606359,Distillery Sunday Market,43.650074989330655,-79.36183171318665,Farmers Market
10,Regent Park,43.6542599,-79.3606359,SOMA chocolatemaker,43.65062222570758,-79.35812684032683,Chocolate Shop
11,Regent Park,43.6542599,-79.3606359,Rooster Coffee,43.65189965670432,-79.36560912104514,Coffee Shop
12,Regent Park,43.6542599,-79.3606359,Cacao 70,43.650066694561666,-79.36072263183006,Dessert Shop
13,Regent Park,43.6542599,-79.3606359,Arvo,43.64996280366945,-79.36144178325522,Coffee Shop
14,Regent Park,43.6542599,-79.3606359,Alumnae Theatre,43.65275554626444,-79.36475283805089,Theater
15,Regent Park,43.6542599,-79.3606359,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
16,Regent Park,43.6542599,-79.3606359,Young Centre for the Performing Arts,43.65082466432163,-79.35759324240415,Performing Arts Venue
